timestamp,task_id,num_vms,cpu_req,mem_req,chosen_hw_type,accepted,energy_cost
736,13160,6,14,7.1324,2,1,0.00257057
736,12199,1,5,4.56641,4,1,0.00118424
736,13162,4,8,7.64659,4,1,0.00118417
736,12201,3,6,6.45056,4,1,0.00118424
736,13164,6,5,5.34089,3,1,0.00125872
736,13166,4,12,5.90959,3,1,0.00125872
736,13168,4,11,5.45914,2,1,0.00257057
736,13170,8,16,7.80892,3,1,0.00125872
736,13172,1,8,4.0652,2,1,0.00257057
736,13174,3,5,4.54893,2,1,0.00257057
736,13176,1,5,4.62672,4,1,0.00118417
736,13178,2,9,4.51916,2,1,0.00257057
736,13180,16,8,7.9957,2,1,0.00257057
736,13182,9,6,6.05173,3,1,0.00125872
736,13184,11,7,6.55021,3,1,0.00125872
737,12239,4,8,7.64659,4,1,0.00118583
737,12206,3,7,6.54285,4,1,0.00118584
737,13199,6,14,7.1324,2,1,0.00257519
737,12241,1,5,4.62672,4,1,0.00118583
737,13201,6,5,5.34089,3,1,0.00126086
737,13203,2,5,5.1111,4,1,0.00118578
737,13205,4,12,5.90959,3,1,0.00126086
737,13207,4,11,5.45914,2,1,0.00257519
737,13209,8,16,7.80892,3,1,0.00126086
737,13211,1,5,4.56641,4,1,0.00118578
737,13213,1,8,4.0652,2,1,0.00257519
737,13215,3,5,4.54893,2,1,0.00257519
737,13217,2,9,4.51916,2,1,0.00257519
737,13219,16,8,7.9957,2,1,0.00257519
737,13221,9,6,6.05173,3,1,0.00126086
737,13223,3,6,6.45056,4,1,0.00118578
737,13225,11,7,6.55021,3,1,0.00126086
738,12209,6,14,7.1324,2,1,0.00258102
738,13241,6,5,5.34089,2,1,0.00257982
738,12245,2,5,5.1111,4,1,0.00118744
738,12211,4,8,7.64659,4,1,0.00118744
738,13243,4,11,5.45914,2,1,0.00257982
738,12247,1,5,4.56641,4,1,0.00118744
738,12213,4,12,5.90959,2,1,0.00258102
738,13245,3,7,6.54285,4,1,0.00118738
738,12249,3,6,6.45056,4,1,0.00118744
738,13247,1,8,4.0652,3,1,0.001263
738,12215,8,16,7.80892,2,1,0.00258102
738,13249,3,5,4.54893,3,1,0.001263
738,12217,1,5,4.62672,4,1,0.00118744
738,13251,9,6,6.05173,3,1,0.001263
738,12219,2,9,4.51916,2,1,0.00258102
738,13253,11,7,6.55021,2,1,0.00257982
738,12221,16,8,7.9957,2,1,0.00258102
739,12230,6,14,7.1324,2,1,0.00258549
739,13262,4,8,7.64659,4,1,0.00118898
739,12254,3,7,6.54285,4,1,0.00118904
739,12232,6,5,5.34089,2,1,0.00258549
739,13264,4,12,5.90959,3,1,0.00126515
