timestamp,task_id,num_vms,cpu_req,mem_req,chosen_cell,chosen_hw_type,accepted,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,processing_time_sec
606,10285,4,12,5.90959,0,1,1,0.256568,0.0292758,371716,3.10632e+06,24615,85866,0,0
606,10309,6,5,5.34089,0,1,1,0.249064,0.028487,375468,3.10884e+06,24624,86131,0,0
606,10311,2,5,5.1111,0,1,1,0.037064,0.00566113,481468,3.18188e+06,24818.8,97154,0,0
606,10287,4,11,5.45914,0,1,1,0.256656,0.0292826,371672,3.1063e+06,24614.9,85862,0,0
606,10313,8,16,7.80892,0,1,1,0.24932,0.0285066,375340,3.10878e+06,24623.8,86123,0,0
606,10289,3,7,6.54285,0,1,1,0.036618,0.00559711,481691,3.18209e+06,24820.9,97177,0,0
606,10315,1,5,4.56641,0,1,1,0.037074,0.00566256,481463,3.18188e+06,24818.8,97153,0,0
606,10291,1,8,4.0652,0,1,1,0.256672,0.0292839,371664,3.10629e+06,24614.9,85861,0,0
606,10317,1,5,4.62672,0,1,1,0.037084,0.005664,481458,3.18188e+06,24818.8,97152,0,0
606,10293,3,5,4.54893,0,1,1,0.256702,0.0292881,371649,3.10628e+06,24614.8,85858,0,0
606,10319,2,9,4.51916,0,1,1,0.249356,0.0285094,375322,3.10877e+06,24623.8,86121,0,0
606,10295,3,6,6.45056,0,1,1,0.036654,0.00560316,481673,3.18207e+06,24820.7,97174,0,0
606,10321,16,8,7.9957,0,1,1,0.249612,0.0285494,375194,3.10864e+06,24623.1,86105,0,0
606,10297,11,7,6.55021,0,1,1,0.256856,0.0293107,371572,3.10621e+06,24614.5,85847,0,0
606,10323,9,6,6.05173,0,1,1,0.24972,0.0285664,375140,3.10859e+06,24622.9,86096,0,0
607,10334,6,14,7.1324,0,1,1,0.249888,0.0285798,375056,3.10854e+06,24622.8,86090,0,0
607,10307,6,5,5.34089,0,1,1,0.256916,0.0293207,371542,3.10617e+06,24614.3,85841,0,0
607,10336,4,8,7.64659,0,1,1,0.037148,0.00567356,481426,3.18184e+06,24818.4,97148,0,0
607,10309,2,5,5.1111,0,1,1,0.036674,0.00560635,481663,3.18206e+06,24820.6,97172,0,0
607,10338,4,12,5.90959,0,1,1,0.249984,0.0285872,375008,3.10852e+06,24622.7,86086,0,0
607,10311,1,5,4.56641,0,1,1,0.036684,0.00560778,481658,3.18206e+06,24820.6,97171,0,0
607,10340,4,11,5.45914,0,1,1,0.250072,0.028594,374964,3.1085e+06,24622.7,86082,0,0
607,10313,3,5,4.54893,0,1,1,0.256946,0.0293249,371527,3.10616e+06,24614.3,85838,0,0
607,10342,8,16,7.80892,0,1,1,0.250328,0.0286135,374836,3.10844e+06,24622.5,86074,0,0
607,10315,1,5,4.62672,0,1,1,0.036694,0.00560922,481653,3.18205e+06,24820.5,97170,0,0
607,10344,3,7,6.54285,0,1,1,0.03719,0.0056797,481405,3.18182e+06,24818.2,97145,0,0
607,10317,16,8,7.9957,0,1,1,0.257202,0.0293649,371399,3.10603e+06,24613.6,85822,0,0
607,10346,1,8,4.0652,0,1,1,0.250344,0.0286148,374828,3.10843e+06,24622.5,86073,0,0
607,10348,2,9,4.51916,0,1,1,0.25038,0.0286176,374810,3.10842e+06,24622.5,86071,0,0
607,10350,9,6,6.05173,0,1,1,0.250488,0.0286346,374756,3.10837e+06,24622.2,86062,0,0
607,10352,3,6,6.45056,0,1,1,0.037226,0.00568574,481387,3.18181e+06,24818.1,97142,0,0
607,10354,11,7,6.55021,0,1,1,0.250642,0.0286571,374679,3.1083e+06,24621.8,86051,0,0
608,10325,4,8,7.64659,0,1,1,0.036758,0.00561878,481621,3.18202e+06,24820.2,97166,0,0
608,10367,6,14,7.1324,0,1,1,0.25081,0.0286705,374595,3.10825e+06,24621.7,86045,0,0
608,10327,6,5,5.34089,0,1,1,0.257262,0.0293749,371369,3.106e+06,24613.5,85816,0,0
608,10369,2,5,5.1111,0,1,1,0.037246,0.00568894,481377,3.1818e+06,24818,97140,0,0
608,10329,3,7,6.54285,0,1,1,0.0368,0.00562492,481600,3.182e+06,24820,97163,0,0
608,10371,4,12,5.90959,0,1,1,0.250906,0.0286779,374547,3.10823e+06,24621.7,86041,0,0
608,10331,1,8,4.0652,0,1,1,0.257278,0.0293762,371361,3.106e+06,24613.4,85815,0,0
608,10373,4,11,5.45914,0,1,1,0.250994,0.0286847,374503,3.10821e+06,24621.6,86037,0,0
608,10333,2,9,4.51916,0,1,1,0.257314,0.029379,371343,3.10599e+06,24613.4,85813,0,0
608,10375,8,16,7.80892,0,1,1,0.25125,0.0287042,374375,3.10815e+06,24621.5,86029,0,0
608,10335,16,8,7.9957,0,1,1,0.25757,0.029419,371215,3.10586e+06,24612.8,85797,0,0
608,10377,1,5,4.56641,0,1,1,0.037256,0.00569037,481372,3.18179e+06,24817.9,97139,0,0
608,10337,3,6,6.45056,0,1,1,0.036836,0.00563096,481582,3.18198e+06,24819.8,97160,0,0
608,10379,3,5,4.54893,0,1,1,0.25128,0.0287085,374360,3.10813e+06,24621.4,86026,0,0
608,10381,1,5,4.62672,0,1,1,0.037266,0.00569181,481367,3.18179e+06,24817.9,97138,0,0
608,10383,9,6,6.05173,0,1,1,0.251388,0.0287255,374306,3.10808e+06,24621.1,86017,0,0
608,10385,11,7,6.55021,0,1,1,0.251542,0.028748,374229,3.10801e+06,24620.8,86006,0,0
609,10397,4,8,7.64659,0,1,1,0.03733,0.00570137,481335,3.18176e+06,24817.6,97134,0,0
609,10346,6,14,7.1324,0,1,1,0.257738,0.0294324,371131,3.10582e+06,24612.7,85791,0,0
609,10399,4,12,5.90959,0,1,1,0.251638,0.0287554,374181,3.10798e+06,24620.7,86002,0,0
609,10348,6,5,5.34089,0,1,1,0.257798,0.0294424,371101,3.10578e+06,24612.5,85785,0,0
609,10401,4,11,5.45914,0,1,1,0.251726,0.0287623,374137,3.10796e+06,24620.6,85998,0,0
609,10350,2,5,5.1111,0,1,1,0.036856,0.00563416,481572,3.18197e+06,24819.7,97158,0,0
609,10403,3,7,6.54285,0,1,1,0.037372,0.0057075,481314,3.18174e+06,24817.4,97131,0,0
609,10352,8,16,7.80892,0,1,1,0.258054,0.0294619,370973,3.10572e+06,24612.4,85777,0,0
609,10405,1,8,4.0652,0,1,1,0.251742,0.0287635,374129,3.10796e+06,24620.6,85997,0,0
609,10354,1,5,4.56641,0,1,1,0.036866,0.00563559,481567,3.18197e+06,24819.7,97157,0,0
609,10407,3,5,4.54893,0,1,1,0.251772,0.0287678,374114,3.10794e+06,24620.6,85994,0,0
609,10356,1,5,4.62672,0,1,1,0.036876,0.00563703,481562,3.18196e+06,24819.6,97156,0,0
609,10409,3,6,6.45056,0,1,1,0.037408,0.00571355,481296,3.18172e+06,24817.2,97128,0,0
609,10358,2,9,4.51916,0,1,1,0.25809,0.0294647,370955,3.10571e+06,24612.3,85775,0,0
609,10411,11,7,6.55021,0,1,1,0.251926,0.0287903,374037,3.10787e+06,24620.2,85983,0,0
609,10360,16,8,7.9957,0,1,1,0.258346,0.0295047,370827,3.10558e+06,24611.7,85759,0,0
609,10362,9,6,6.05173,0,1,1,0.258454,0.0295217,370773,3.10553e+06,24611.4,85750,0,0
610,10373,4,8,7.64659,0,1,1,0.03694,0.00564659,481530,3.18193e+06,24819.3,97152,0,0
610,10421,6,14,7.1324,0,1,1,0.252094,0.0288037,373953,3.10783e+06,24620.1,85977,0,0
610,10375,4,12,5.90959,0,1,1,0.25855,0.0295291,370725,3.10551e+06,24611.4,85746,0,0
610,10423,6,5,5.34089,0,1,1,0.252154,0.0288137,373923,3.1078e+06,24619.9,85971,0,0
610,10377,4,11,5.45914,0,1,1,0.258638,0.029536,370681,3.10548e+06,24611.3,85742,0,0
610,10425,2,5,5.1111,0,1,1,0.037428,0.00571675,481286,3.18171e+06,24817.1,97126,0,0
610,10379,8,16,7.80892,0,1,1,0.258894,0.0295555,370553,3.10542e+06,24611.2,85734,0,0
610,10427,1,5,4.56641,0,1,1,0.037438,0.00571817,481281,3.1817e+06,24817,97125,0,0
610,10381,3,7,6.54285,0,1,1,0.036982,0.00565272,481509,3.18191e+06,24819.1,97149,0,0
610,10429,1,5,4.62672,0,1,1,0.037448,0.00571962,481276,3.1817e+06,24817,97124,0,0
610,10383,1,8,4.0652,0,1,1,0.25891,0.0295567,370545,3.10542e+06,24611.1,85733,0,0
610,10431,2,9,4.51916,0,1,1,0.25219,0.0288165,373905,3.10779e+06,24619.9,85969,0,0
610,10385,3,5,4.54893,0,1,1,0.25894,0.029561,370530,3.1054e+06,24611.1,85730,0,0
610,10433,9,6,6.05173,0,1,1,0.252298,0.0288335,373851,3.10773e+06,24619.6,85960,0,0
610,10387,16,8,7.9957,0,1,1,0.259196,0.029601,370402,3.10528e+06,24610.4,85714,0,0
610,10435,11,7,6.55021,0,1,1,0.252452,0.0288561,373774,3.10766e+06,24619.3,85949,0,0
610,10389,3,6,6.45056,0,1,1,0.037018,0.00565877,481491,3.18189e+06,24818.9,97146,0,0
611,10400,6,5,5.34089,0,1,1,0.259256,0.029611,370372,3.10524e+06,24610.3,85708,0,0
611,10445,6,14,7.1324,0,1,1,0.25262,0.0288694,373690,3.10762e+06,24619.2,85943,0,0
611,10402,2,5,5.1111,0,1,1,0.037038,0.00566197,481481,3.18188e+06,24818.8,97144,0,0
611,10447,4,8,7.64659,0,1,1,0.037512,0.00572918,481244,3.18167e+06,24816.7,97120,0,0
611,10449,4,12,5.90959,0,1,1,0.252716,0.0288768,373642,3.10759e+06,24619.1,85939,0,0
611,10404,8,16,7.80892,0,1,1,0.259512,0.0296305,370244,3.10518e+06,24610.1,85700,0,0
611,10451,4,11,5.45914,0,1,1,0.252804,0.0288836,373598,3.10757e+06,24619.1,85935,0,0
611,10406,1,5,4.56641,0,1,1,0.037048,0.00566339,481476,3.18188e+06,24818.8,97143,0,0
611,10453,3,7,6.54285,0,1,1,0.037554,0.00573531,481223,3.18165e+06,24816.5,97117,0,0
611,10408,1,8,4.0652,0,1,1,0.259528,0.0296318,370236,3.10518e+06,24610.1,85699,0,0
611,10455,3,5,4.54893,0,1,1,0.252834,0.0288879,373583,3.10756e+06,24619,85932,0,0
611,10410,1,5,4.62672,0,1,1,0.037058,0.00566484,481471,3.18187e+06,24818.7,97142,0,0
611,10457,16,8,7.9957,0,1,1,0.25309,0.0289279,373455,3.10743e+06,24618.4,85916,0,0
611,10412,2,9,4.51916,0,1,1,0.259564,0.0296346,370218,3.10517e+06,24610.1,85697,0,0
611,10459,3,6,6.45056,0,1,1,0.03759,0.00574136,481205,3.18163e+06,24816.3,97114,0,0
611,10414,9,6,6.05173,0,1,1,0.259672,0.0296516,370164,3.10511e+06,24609.8,85688,0,0
611,10416,11,7,6.55021,0,1,1,0.259826,0.0296742,370087,3.10504e+06,24609.5,85677,0,0
612,10427,6,14,7.1324,0,1,1,0.259994,0.0296875,370003,3.105e+06,24609.4,85671,0,0
612,10469,2,5,5.1111,0,1,1,0.03761,0.00574455,481195,3.18162e+06,24816.2,97112,0,0
612,10471,4,12,5.90959,0,1,1,0.253186,0.0289353,373407,3.10741e+06,24618.3,85912,0,0
612,10429,4,8,7.64659,0,1,1,0.037122,0.0056744,481439,3.18184e+06,24818.4,97138,0,0
612,10473,4,11,5.45914,0,1,1,0.253274,0.0289421,373363,3.10739e+06,24618.2,85908,0,0
612,10431,6,5,5.34089,0,1,1,0.260054,0.0296975,369973,3.10497e+06,24609.2,85665,0,0
612,10475,8,16,7.80892,0,1,1,0.25353,0.0289616,373235,3.10732e+06,24618.1,85900,0,0
612,10433,3,7,6.54285,0,1,1,0.037164,0.00568053,481418,3.18182e+06,24818.2,97135,0,0
612,10477,1,5,4.56641,0,1,1,0.03762,0.00574598,481190,3.18161e+06,24816.1,97111,0,0
612,10435,2,9,4.51916,0,1,1,0.26009,0.0297004,369955,3.10496e+06,24609.2,85663,0,0
612,10479,1,8,4.0652,0,1,1,0.253546,0.0289629,373227,3.10732e+06,24618.1,85899,0,0
612,10437,9,6,6.05173,0,1,1,0.260198,0.0297174,369901,3.1049e+06,24608.9,85654,0,0
612,10481,3,5,4.54893,0,1,1,0.253576,0.0289671,373212,3.10731e+06,24618,85896,0,0
